歌曲識別碼,歌曲名,歌曲名中譯,歌曲名英譯,語言,歌曲時長,YouTube 連結,發行日期,圖片,音檔,我的最愛,備註
1,LIKEY,喜歡你,LIKEY,韓文,3:28,https://youtu.be/5gZl0PYC2Ho,2017/10/30,,,,
2,거북이,烏龜,Turtle,韓文,3:19,https://youtu.be/tVv_C2fYStU,2017/10/30,,,,
3,Missing U,想你,Missing U,韓文,3:00,https://youtu.be/U9cP8pjmtSs,2017/10/30,,,,
4,WOW,哇,WOW,韓文,3:01,https://youtu.be/ngpGqFCioUI,2017/10/30,,,,
5,FFW,全速前進,FFW,韓文,3:47,https://youtu.be/NGrmg1vBYCU,2017/10/30,,,,
6,DING DONG,叮咚,DING DONG,韓文,3:33,https://youtu.be/MKapiFDDaGA,2017/10/30,,,,
7,24/7,每天24小時,24/7,韓文,3:36,https://youtu.be/2Z1C9rJtUHA,2017/10/30,,,,
8,날 바라바,看著我,Look at Me,韓文,3:14,https://youtu.be/Q97pvL6GsIA,2017/10/30,,,,
9,ROLLIN',翻滾吧,ROLLIN’,韓文,3:11,https://youtu.be/jpvWkizFIEM,2017/10/30,,,,
10,LOVE LINE,愛情線,LOVE LINE,韓文,3:17,https://youtu.be/-Q2aX-BBjK8,2017/10/30,,,,
11,힘내！,加油,Cheer Up!,韓文,2:59,https://youtu.be/97PCZFThkVM,2017/10/30,,,,
12,널 내게 담아,把你裝進我心裡,You in My Heart,韓文,3:29,https://youtu.be/hoPOCZJv_2M,2017/10/30,,,,
13,잘자요 굿나잇,晚安,Say Good Night,韓文,4:24,https://youtu.be/WMs-SzOSfzs,2017/10/30,,,,
14,I CAN'T STOP ME,無法停止,I CAN’T STOP ME,韓文,3:41,https://youtu.be/3d-D5bLDZSk,2020/10/26,,,,
15,Hell In Heaven,地獄中的天堂,Hell In Heaven,韓文,3:00,https://youtu.be/0O18GnTW1CU,2020/10/26,,,,
16,Up No More,不再熬夜,Up No More,韓文,3:35,https://youtu.be/Qgylz1pLFE0,2020/10/26,,,,
17,Do What We Like,做我們想做的事,Do What We Like,韓文,3:00,https://youtu.be/Zw2SgJXWP-4,2020/10/26,,,,
18,Bring It Back,帶回來,Bring It Back,韓文,3:30,https://youtu.be/pG1JNdtNNMM,2020/10/26,,,,
19,Believer,信徒,Believer,韓文,3:17,https://youtu.be/UD-NryVdDts,2020/10/26,,,,
20,Queen,女王,Queen,韓文,3:14,https://youtu.be/21BJa_LA9W4,2020/10/26,,,,
21,Go Hard,全力以赴,Go Hard,韓文,3:00,https://youtu.be/VSc74fDej4I,2020/10/26,,,,
22,Shot Clock,計時器,Shot Clock,韓文,3:29,https://youtu.be/ujy8oFwxRF4,2020/10/26,,,,
23,Handle It,處理它,Handle It,韓文,2:52,https://youtu.be/nNTZw8yvMn8,2020/10/26,,,,
24,Depend On You,依賴你,Depend On You,韓文,3:18,https://youtu.be/ifnLGYQSr_4,2020/10/26,,,,
25,Say Something,說點什麼,Say Something,韓文,4:10,https://youtu.be/oiVqaZyY0ts,2020/10/26,,,,
26,Behind The Mask,面具之後,Behind The Mask,韓文,3:38,https://youtu.be/OMupkTVfSQc,2020/10/26,,,,
27,SCIENTIST,科學家,SCIENTIST,韓文,3:14,https://youtu.be/FOYH-CxtKI8,2021/11/12,,,,
28,MOONLIGHT,月光,MOONLIGHT,韓文,3:39,https://youtu.be/Q8nCjQCvWD4,2021/11/12,,,,
29,ICON,偶像,ICON,韓文,2:56,https://youtu.be/wfXETdOzYos,2021/11/12,,,,
30,CRUEL,殘忍,CRUEL,韓文,3:31,https://youtu.be/HQXBAGVSOyY,2021/11/12,,,,
31,REAL YOU,真正的你,REAL YOU,韓文,3:07,https://youtu.be/gzOdfzuFJ3E,2021/11/12,,,,
32,F.I.L.A,再一次墜入愛河,F.I.L.A,韓文,3:11,https://youtu.be/I4xliZW07tk,2021/11/12,,,,
33,LAST WALTZ,最後一支華爾滋,LAST WALTZ,韓文,2:50,https://youtu.be/sb27EfioKKw,2021/11/12,,,,
34,ESPRESSO,濃縮咖啡,ESPRESSO,韓文,3:07,https://youtu.be/kFudXy6hma8,2021/11/12,,,,
35,알고 싶지 않아,我不想知道,I Don’t Wanna Know,韓文,3:00,https://youtu.be/kcl1OpkDGHU,2021/11/12,,,,
36,선인장,仙人掌,Cactus,韓文,3:37,https://youtu.be/OTHG8RqPSKE,2021/11/12,,,,
37,PUSH & PULL,推與拉,PUSH & PULL,韓文,3:25,https://youtu.be/LKHm2N-knDQ,2021/11/12,,,,
38,HELLO,你好,HELLO,韓文,3:03,https://youtu.be/nhL_Ual1DZk,2021/11/12,,,,
39,"1,3,2","1,3,2","1,3,2",韓文,3:18,https://youtu.be/xGFEC0hUlnM,2021/11/12,,,,
40,CANDY,糖果,CANDY,韓文,3:15,https://youtu.be/AMRCx2kjv2A,2021/11/12,,,,
41,The Feels(CD Only),悸動,The Feels (CD Only),韓文,3:18,Null,2021/11/12,,,,
42,The Feels(Digital Only),悸動,The Feels (Digital Only),英文,3:18,https://youtu.be/TsHl3pNRIUo,2021/11/12,,,,
43,SCIENTIST(Digital Only),科學家,SCIENTIST (Digital Only),英文,3:28,https://youtu.be/kps3WkWq-ns,2021/11/12,,,,
44,Four,四,Four,英文,1:45,https://youtu.be/fhxq4s36-I4,2025/7/11,,,,
45,THIS IS FOR,為了這一切,THIS IS FOR,英文,2:11,https://youtu.be/V4QB1mJoafo,2025/7/11,,,,
46,Options,選項,Options,英文,3:06,https://youtu.be/0sFFvghflng,2025/7/11,,,,
47,Mars,火星,Mars,英文,2:21,https://youtu.be/N1ExjhcpLso,2025/7/11,,,,
48,Right Hand Girl,右手女孩,Right Hand Girl,英文,2:31,https://youtu.be/dtKQfCr7N7I,2025/7/11,,,,
49,Peach Gelato,水蜜桃冰淇淋,Peach Gelato,英文,2:18,https://youtu.be/JkEeQK3yNv8,2025/7/11,,,,
50,Hi Hello,嗨你好,Hi Hello,英文,2:07,https://youtu.be/bLfU4eeqOCo,2025/7/11,,,,
51,Battitude,反骨,Battitude,英文,2:26,https://youtu.be/TOic7n-CDd4,2025/7/11,,,,
52,Dat Ahh Dat Ooh,那樣喔,Dat Ahh Dat Ooh,英文,2:28,https://youtu.be/POxNm2NNyps,2025/7/11,,,,
53,Let Love Go,放手去愛,Let Love Go,英文,2:58,https://youtu.be/dTsP-nmggyc,2025/7/11,,,,
54,G.O.A.T,最強,G.O.A.T,英文,2:25,https://youtu.be/nJRj6-jeSNE,2025/7/11,,,,
55,Talk,聊天,Talk,英文,2:48,https://youtu.be/DvflMF6SSJE,2025/7/11,,,,
56,Seesaw,翹翹板,Seesaw,英文,3:30,https://youtu.be/V-cGPvu1zQE,2025/7/11,,,,
57,Heartbreak Avenue,心碎大道,Heartbreak Avenue,英文,3:16,https://youtu.be/gd5q41kCtHE,2025/7/11,,,,
58,This Is For,為了這一切,This Is For,英文,2:26,https://youtu.be/RPoHz-k6etQ,2025/7/11,,,,
59,Takedown,擊倒,Takedown,英文,3:00,https://youtu.be/g2d1QmEz8wo,2025/7/11,,,,
60,Heart Shaker,心動,Heart Shaker,韓文,3:07,https://youtu.be/cCSd_gSXuBA,2017/12/11,,,,
61,Merry & Happy,歡樂聖誕,Merry & Happy,韓文,3:14,https://youtu.be/c_29BVsBMFg,2017/12/11,,,,
62,Like OOH-AHH,像OOH-AHH一樣,Like OOH-AHH,韓文,3:35,https://youtu.be/6KMN61Zsd58,2015/10/20,,,,
63,다시 해줘,再來一次,Do It Again,韓文,3:26,https://youtu.be/kSsAj90BSBk,2015/10/20,,,,
64,미쳤나봐,我好像瘋了,I Think I’m Crazy,韓文,3:01,https://youtu.be/KNHRIqklQDQ,2015/10/20,,,,
65,Truth,真心話,Truth,韓文,3:33,https://youtu.be/ChHrGbAueHc,2015/10/20,,,,
66,Candy Boy,糖果男孩,Candy Boy,韓文,2:46,https://youtu.be/Oae27Y1AlCE,2015/10/20,,,,
67,Like a Fool,像傻瓜一樣,Like a Fool,韓文,3:34,https://youtu.be/sc9AAtx72ms,2015/10/20,,,,
68,CHEER UP,加油,CHEER UP,韓文,3:29,https://youtu.be/prWVZFgZ3Zc,2016/4/25,,,,
69,珍貴的愛情(소중한 사랑 / Precious Love),珍貴的愛情,Precious Love,韓文,3:51,https://youtu.be/IZIUrPNfTH0,2016/4/25,,,,
70,TOUCHDOWN,達陣,TOUCHDOWN,韓文,3:23,https://youtu.be/a2rRdbSRbRM,2016/4/25,,,,
71,動不動就(툭하면 톡 / Tuk Tok),動不動就,Tuk Tok,韓文,3:16,https://youtu.be/OMMSWhLQ2Tg,2016/4/25,,,,
72,WOOHOO,嗚呼,WOOHOO,韓文,3:21,https://youtu.be/5RrU2KgkK9w,2016/4/25,,,,
73,戴上HEADPHONE(HEADPHONE 써 / MY HEADPHONES ON),戴上耳機,My Headphones On,韓文,3:16,https://youtu.be/jXK8oBtUyvU,2016/4/25,,,,
74,I'M GONNA BE A STAR,我要成為明星,I’M GONNA BE A STAR,韓文,3:21,https://youtu.be/USQbXtp-KJk,2016/4/25,,,,
75,TT(티티),TT,TT,韓文,3:34,https://youtu.be/___h2czNhe0,2016/10/24,,,,
76,1 TO 10,1到10,1 TO 10,韓文,2:56,https://youtu.be/wXlrZpTWKgM,2016/10/24,,,,
77,PONYTAIL,馬尾,PONYTAIL,韓文,3:27,https://youtu.be/nDFHrHf6XtE,2016/10/24,,,,
78,JELLY JELLY,果凍果凍,JELLY JELLY,韓文,3:32,https://youtu.be/xoRUkPR7WeE,2016/10/24,,,,
79,PIT-A-PAT,怦然心動,PIT-A-PAT,韓文,3:28,https://youtu.be/tAzZysDyKV4,2016/10/24,,,,
80,NEXT PAGE,下一頁,NEXT PAGE,韓文,2:58,https://youtu.be/ZLzf7CUGV-k,2016/10/24,,,,
81,ONE IN A MILLION,百萬分之一,ONE IN A MILLION,韓文,2:55,https://youtu.be/OA41_pkBL50,2016/10/24,,,,
82,SIGNAL,信號,SIGNAL,韓文,3:18,https://youtu.be/JSw2CF4EoKA,2017/5/15,,,,
83,一天三次(하루에 세번 / Three Times a Day),一天三次,Three Times a Day,韓文,3:11,https://youtu.be/cykbsxYBwRA,2017/5/15,,,,
84,Only 你(Only 너 / Only You),只有你,Only You,韓文,3:38,https://youtu.be/iAeOTq5b_v8,2017/5/15,,,,
85,Hold Me Tight,抱緊我,Hold Me Tight,韓文,3:19,https://youtu.be/J2O6NZRLz2k,2017/5/15,,,,
86,Eye Eye Eyes,眼睛眼睛眼睛,Eye Eye Eyes,韓文,2:55,https://youtu.be/ahjPcD11Cq4,2017/5/15,,,,
87,Someone Like Me,像我這樣的人,Someone Like Me,韓文,3:25,https://youtu.be/JWRTQAIHVmw,2017/5/15,,,,
88,What is Love?,什麼是愛,What Is Love?,韓文,3:28,https://youtu.be/w4nihuYVTW0,2018/4/9,,,,
89,SWEET TALKER,甜言蜜語,SWEET TALKER,韓文,3:27,https://youtu.be/ViP0lunO1lE,2018/4/9,,,,
90,HO!,嗨,HO!,韓文,3:09,https://youtu.be/3pcCmShOGes,2018/4/9,,,,
91,DEJAVU,似曾相識,DEJAVU,韓文,3:16,https://youtu.be/87nIfxpuipk,2018/4/9,,,,
92,Say Yes,答應我,Say Yes,韓文,3:02,https://youtu.be/Zup7Y-tUSBs,2018/4/9,,,,
93,STUCK,卡住,STUCK,韓文,3:38,https://youtu.be/6Xm9Nzs06uE,2018/4/9,,,,
94,YES or YES(예스 오 예스),是或是,YES or YES,韓文,3:58,https://youtu.be/3AIII5SN0N0,2018/11/5,,,,
95,SAY YOU LOVE ME,說你愛我,SAY YOU LOVE ME,韓文,3:33,https://youtu.be/x2cUrOnaCDg,2018/11/5,,,,
96,LALALA,啦啦啦,LALALA,韓文,3:06,https://youtu.be/6D1LR9F5j8g,2018/11/5,,,,
97,YOUNG & WILD,年輕又狂野,YOUNG & WILD,韓文,3:01,https://youtu.be/lgT7YKt0syY,2018/11/5,,,,
98,SUNSET,夕陽,SUNSET,韓文,3:43,https://youtu.be/_NY6kOB4VVU,2018/11/5,,,,
99,AFTER MOON,月後,AFTER MOON,韓文,3:24,https://youtu.be/Cmlhdt2j62s,2018/11/5,,,,
100,BDZ(Korean ver.),BDZ,BDZ (Korean ver.),韓文,3:16,https://youtu.be/-tsddqSTkOw,2018/11/5,,,,
101,FANCY(팬시),華麗,FANCY,韓文,3:33,https://youtu.be/j4OrZV_GAsI,2019/4/22,,,,
102,STUCK IN MY HEAD,困在我腦海,STUCK IN MY HEAD,韓文,2:56,https://youtu.be/k9UXGuoc4lQ,2019/4/22,,,,
103,GIRLS LIKE US,女孩就該這樣,GIRLS LIKE US,韓文,2:38,https://youtu.be/S7TlMUs9ptk,2019/4/22,,,,
104,HOT,火熱,HOT,韓文,2:57,https://youtu.be/JOswKXwfJ_s,2019/4/22,,,,
105,TURN IT UP,調高音量,TURN IT UP,韓文,3:07,https://youtu.be/Ssro0ddHe1Y,2019/4/22,,,,
106,STRAWBERRY,草莓,STRAWBERRY,韓文,3:29,https://youtu.be/HFD_8hsjyXE,2019/4/22,,,,
107,Feel Special,感覺特別,Feel Special,韓文,3:26,https://youtu.be/2zZxNpzqcAc,2019/9/23,,,,
108,RAINBOW,彩虹,RAINBOW,韓文,2:57,https://youtu.be/uU8ib9OLrnE,2019/9/23,,,,
109,GET LOUD,大聲點,GET LOUD,韓文,3:07,https://youtu.be/Kt80per7teY,2019/9/23,,,,
110,TRICK IT,耍你,TRICK IT,韓文,3:14,https://youtu.be/NNWADYNmENM,2019/9/23,,,,
111,LOVE FOOLISH,愚蠢的愛,LOVE FOOLISH,韓文,3:11,https://youtu.be/PeFXRIJXYZo,2019/9/23,,,,
112,21:29,21:29,21:29,韓文,3:48,https://youtu.be/gsmSi4avq-0,2019/9/23,,,,
113,Breakthrough (Korean ver.),突破,Breakthrough (Korean ver.),韓文,3:37,https://youtu.be/qJXJofDk7Wo,2019/7/24,,,,
114,MORE & MORE,更多更多,MORE & MORE,韓文,3:19,https://youtu.be/8yTxNtVr_d8,2020/6/1,,,,
115,OXYGEN,氧氣,OXYGEN,韓文,3:45,https://youtu.be/ssAa1Vf3KTQ,2020/6/1,,,,
116,FIREWORK,煙火,FIREWORK,韓文,3:13,https://youtu.be/lWX3WCF1qwg,2020/6/1,,,,
117,MAKE ME GO,讓我走,MAKE ME GO,韓文,3:06,https://youtu.be/3fqDjzbtbG4,2020/6/1,,,,
118,SHADOW,影子,SHADOW,韓文,2:48,https://youtu.be/lUS74hctjZg,2020/6/1,,,,
119,DON'T CALL ME AGAIN,不要再打給我,DON’T CALL ME AGAIN,韓文,2:53,https://youtu.be/gPQLExipfZ8,2020/6/1,,,,
120,SWEET SUMMER DAY,甜蜜夏日,SWEET SUMMER DAY,韓文,3:11,https://youtu.be/qYNnBg2VQWg,2020/6/1,,,,
121,Alcohol-Free,無酒精,Alcohol-Free,韓文,3:30,https://youtu.be/m8CyyxWgNd8,2021/6/11,,,,
122,First Time,第一次,First Time,韓文,3:02,https://youtu.be/mG1AMqDTOzg,2021/6/11,,,,
123,Scandal,醜聞,Scandal,韓文,2:43,https://youtu.be/XfHE--ZzhWQ,2021/6/11,,,,
124,Conversation,對話,Conversation,韓文,2:27,https://youtu.be/KwqUdV2hpII,2021/6/11,,,,
125,Baby Blue Love,寶貝藍色的愛,Baby Blue Love,韓文,2:46,https://youtu.be/KRE5FpVxZVQ,2021/6/11,,,,
126,SOS,求救,SOS,韓文,2:53,https://youtu.be/jI_pTD3cy8M,2021/6/11,,,,
127,CRY FOR ME(CD Only),為我哭泣,CRY FOR ME,韓文,3:24,Null,2021/6/11,,,,
128,Talk that Talk,聊聊那件事,Talk That Talk,韓文,2:57,https://youtu.be/F2Y0Q9blUPk,2022/8/26,,,,
129,Queen of Hearts,紅心女王,Queen of Hearts,韓文,3:06,https://youtu.be/ddhScf9lMr8,2022/8/26,,,,
130,Basics,基本原則,Basics,韓文,2:56,https://youtu.be/59Z6bDaIQtY,2022/8/26,,,,
131,Trouble,麻煩,Trouble,韓文,3:35,https://youtu.be/vm9Lkyp4l9Q,2022/8/26,,,,
132,Brave,勇敢,Brave,韓文,3:09,https://youtu.be/QTy21FWLvqY,2022/8/26,,,,
133,Gone,離開,Gone,韓文,3:15,https://youtu.be/eGL-O-vZFMA,2022/8/26,,,,
134,When We Were Kids,當我們還是孩子,When We Were Kids,韓文,3:09,https://youtu.be/K8vqtOzTd7w,2022/8/26,,,,
135,SET ME FREE,解放我,SET ME FREE,韓文,3:01,https://youtu.be/IPk3M154M3s,2023/3/10,,,,
136,MOONLIGHT SUNRISE,月光日出,MOONLIGHT SUNRISE,韓文,3:00,https://youtu.be/yHEdqF09Mgs,2023/1/20,,,,
137,GOT THE THRILLS,心跳加速,GOT THE THRILLS,韓文,2:53,https://youtu.be/J0EMiphyUFY,2023/3/10,,,,
138,BLAME IT ON ME,都是你的錯,BLAME IT ON ME,韓文,2:40,https://youtu.be/Mk8hIPg2dNE,2023/3/10,,,,
139,WALLFLOWER,牆花,WALLFLOWER,韓文,2:56,https://youtu.be/VzIAZt8I7t8,2023/3/10,,,,
140,CRAZY STUPID LOVE,瘋狂愚蠢的愛,CRAZY STUPID LOVE,韓文,2:49,https://youtu.be/pupEHRXBU-w,2023/3/10,,,,
141,SET ME FREE (English ver.),解放我（英文）,SET ME FREE (ENG),韓文,3:01,https://youtu.be/Cczo7nazBGA,2023/3/10,,,,
142,I GOT YOU,我擁有你,I GOT YOU,韓文,2:53,https://youtu.be/4G08xoCJiQw,2024/2/2,,,,
143,ONE SPARK,唯一火花,ONE SPARK,韓文,3:03,https://youtu.be/FRx4TH0rFvs,2024/2/23,,,,
144,RUSH,衝刺,RUSH,韓文,2:36,https://youtu.be/gw5uSSsHm6c,2024/2/23,,,,
145,NEW NEW,全新全新,NEW NEW,韓文,3:01,https://youtu.be/JqEEOtVtBO4,2024/2/23,,,,
146,BLOOM,綻放,BLOOM,韓文,3:23,https://youtu.be/paEyc77z3B4,2024/2/23,,,,
147,YOU GET ME,你理解我,YOU GET ME,韓文,2:33,https://youtu.be/GzmFNfvKSTY,2024/2/23,,,,
148,Strategy (feat. 梅根尤物),戰略,Strategy (feat. Megan Thee Stallion),韓文,3:22,https://youtu.be/DoPErQwgfg8,2024/12/6,,,,
149,Kiss My Troubles Away,親吻煩惱,Kiss My Troubles Away,韓文,2:54,https://youtu.be/mDQqhGH58P0,2024/12/6,,,,
150,Like It Like It,喜歡就喜歡,Like It Like It,韓文,3:03,https://youtu.be/Z-hpRjpFmmU,2024/12/6,,,,
151,Sweetest Obsession,最甜的執著,Sweetest Obsession,韓文,2:47,https://youtu.be/lcOz_NEUO0E,2024/12/6,,,,
152,Keeper,守護者,Keeper,韓文,2:36,https://youtu.be/K8oVsiuDlLA,2024/12/6,,,,
153,Magical,魔法,Magical,韓文,3:16,https://youtu.be/nxeUtKHTWYU,2024/12/6,,,,
154,Strategy,戰略,Strategy,韓文,2:47,https://youtu.be/nmbiBVPe5bY,2024/12/6,,,,
